0	minimum seperation between two airy disks as a function of the distance between two point sources of coherent light passing through the same objective	is the electrical signal delivered to a load by a receiving antenna always $\propto \frac {\partial}{\partial t}$ of the $\vec{e}$ or $\vec{b}$ field ?
0	einstein field equations and electromagnetic stress-energy tensor	two-photon absorption and 3rd order susceptibility
1	blackbody radiation and spectral lines	if photon energies are continuous and atomic energy levels are discrete , how can atoms absorb photons ?
0	a question on intereference experiment with water waves as given in the feynman lectures on physics	status of time in a universe at maximum entropy
0	why does planck 's law for black body radiation have that bell-like shape ?	how does band narrowing ( heavily doping the emitter ) affect the alpha f and alpha r in the ebers-moll model of a bjt ?
0	a ball inside a cavity	the relation between the movement of electrons and energy
0	a physical quantity that is a real combination and commutability	modern avatar of englert 's solution ?
0	calculating mass of object by lifting edge	lagrangian for relativistic massless particle
1	reference request for mathematical physics from an axiomatically rigorous perspective	best books for mathematical background ?
1	where does light energy go when the electric and magnetic components equal zero ?	popular depictions of electromagnetic wave : is there an error ?
0	why is the valence band maximum at the gamma point in the bandstructure view of dispersion relation ?	why is the movement of electrons random in electric field ?
0	is the standard explanation for the ring launcher incomplete ?	why can not we detect redshift of galaxies/clusters moving parallel to us ?
0	material to read before taking college physics 1 ?	hybrid inflation and supergravity
1	baryon asymmetry	baryon asymmetry
0	virtual particles and physical laws	lorentz force , must there be two magnets ?
1	gauge higgs unification	is cold dark matter made of higgs bosons ?
0	how much photons are needed to erase a complete mountain ?	where does the steam pressure go ?
0	why point mass leaves it is own gravitational well ?	prior binary star system as possible explanation of high-velocity type ii supernovae remnants
0	is there any quantum interpretation which is not " crazy " at all ?	about 2+1 dimensional superconformal algebra
0	polarisation of light is a wave concept or applicable to photons as well ?	in calculating work done by a constant force over a constant distance , why does not the subject 's initial velocity matter ?
0	would a spin-2 particle necessarily have to be a graviton ?	sound difference between musical instruments
1	does a point exist in the real world	is time continuous ?
0	balancing stick on hand - inverted pendulum motion	why are sine/cosine always used to describe oscillations ?
0	is there any quantum analogs of three body problem ?	max velocity of shm
0	what is the difference between the properties of electron spin and photon polarization/helicity ?	local tension and pressure measurements
0	does sunrise and sunset affect the weather ?	an equivalent for the bernoulli equation for viscous liquids
0	solving 2nd-order odes	weak anti-localization
0	principle of superposition for capacitor	fuel and heated iron ?
0	is there anything special about the sun 's photosphere in terms of density ?	coefficient matrix of quadratic lagrangian
0	thermal penetration depth discrepancy	a question to clarify the use of divergent series in calculating the casimir effect
0	splitting of degenerate energy levels with a perturbed particle in a box	decompression speed ( rate )
0	what is the significance of the branch cut in renormalization group logarithms ?	light emission spectrum units
0	does squeezing a vacuum state produces photons ?	angular momentum in quantum mechanics
1	why is energy conserved ?	proof of conservation of energy ?
0	question on the preservation of information via mapping to free field states	are there convective movements similar to those in clouds everywhere in the atmosphere ?
0	informal book on classical mechanics	boundary conditions for the heat equation when solving a mass density gradient
1	relativity and speed of light again - two opposite light sources	double light speed
1	relation between schrodinger equation and wave equation	how is the schroedinger equation a wave equation ?
0	when calculating the local apparent sidereal time , which time scale should i use ?	poles for a particle scattered in a delta potential
0	why do you only hear high frequencies when a microphone is near its speaker ?	will cone standing on its tip , without any other force other than gravity topple ?
0	how do you simulate chiral gauge theories on a computer ?	how can they prove the superposition of particle states prior to measurement
0	equation for magnetic field due to a current in straight wire	signal strength drop-off from a geosynchronous satellite as a function of angular pointing error
0	simple harmonic oscillator system and changes in its total energy	mass density of dark matter in solar system near us
1	is there anything smaller than a quark ?	what is the smallest existing thing in theory and law ?
0	about wavefunction and vector entries	why is there a $\pi$ phase difference when light goes from a rarer medium to a denser medium ?
0	where do the terms microcanonical , canonical and grand canonical ( ensemble ) come from ?	convergence and well-definedness of lorentzian path integrals
1	what is the nature of energy ?	what is energy ? where did it come from ?
0	rotating/translating disk	how does gravitation propagate along curved spacetime ?
0	what objective criteria distinguish between valid science , fringe science and pseudoscience in physics ?	caustic and singularities in general relativity
0	will this poor-man 's single band pyrometer work ?	what are the consequences of a body of mass moving at speed of light ?
0	pressure loss in a syringe	is airplane moving slower when air is less dense ?
0	is the s-matrix the only quantum field observable ?	what is crystal field anisotropy or effect ? it forces the magnetic moment to point in particular local direction . .
0	differential equation ( greens function ) satisfied by the kernel using path integrals	does the measurement on a subatomic particle give its mass value ?
0	how is a lichtenberg figure created ?	is friction always constant ?
0	general physics landau	what does it mean by complex frequencies ? ( quasinormal modes )
0	tying knots in power cables to prevent power surge from lightning strikes	entropy / structure relations
0	why does density decide whether something floats or sinks ?	question on pendulum
0	lorentz invariance of the 3 + 1 decomposition of spacetime	is there a way to obtain an rg flow equation for quantum spin systems using mera
0	why do not cancelling wavefunctions for two different particles give zero total wavefunction ?	how can a drone simulator help a physics classes ?
1	are there entire anti-matter galaxies ?	how would we tell antimatter galaxies apart ?
0	can i use computer fans and tubes to lower the air temperature below dew point ?	relation between different quantum excitation energy , mass energy and kinetic energy
1	newton and the change of mass with time	force as change in momentum vs . change in velocity
1	centrifugal force when there is no friction	direction of friction on particle placed on a rotating turntable
0	total resistance of infinite resistor grid ?	how can a star emit light if it is in plasma state ?
0	conservation laws vs einsteinian space-time	what is physics behind states of matter ?
0	refractive index liquids : why hard to buy ?	neutral shell ( with a charge inside ) in an electric field
0	quantum symmetries that are not classical symmetries	how to distinguish between the spectrum of an atom in motion and the one of a scaled atom ?
0	cy moduli fields	what would the graph between p ( power ) and i ( current ) look like if the graph between v ( potential difference ) and i is parabolic ?
0	why do electron-positron pair annihilate upon contact ?	origin of phases in amplitudes in qft
0	how accurate are mayan astronomical " ephemerides " ?	is this a correct addition to a pipe friction loss calculation ?
0	gravity and the standard model	is the total energy of a quantum system the sum of the particle energies ?
0	how do i combine three resistors which are in parallel with each other ?	stopping distance of two objects with equal kinetic energy
0	is there a physically motivated " trick " to evaluate this convolution ?	how can a human voice or animal voice have unique frequency
0	from paris to . . . london	simulating electrical sublimation of aluminium foil
0	circular polarisation	how to make charges of a charged conductor evenly distributed over the surface of the object ?
0	relationship between phase space volume and dynamical entropy	maximum weight sustained by wire / breaking limit of wire
0	a statics problem to find minimal friction	electrodynamic multipole expansion
0	calculating height and evaluating the vicinity of a peak in a multiplicity function for a two-state paramagnet	dirac bracket and second class constraints in first-order gravity formalism
1	topology for physicists	best books for mathematical background ?
